,diag_0_0,diag_0_1,diag_0_2,diag_0_3,diag_0_4,diag_1_0,diag_1_1,diag_1_2,diag_1_3
38,-1.9636870028587643,-3.612413822623642,-10.291469246490603,-1.6464416454619513,-5.456855411751524,1.677130965452204,2.011986525088863,6.850034066766187,0.4483375148534526
39,-1.2858224070392,-12.515068719488058,-7.191577614468033,-12.48049029288331,-6.376229305754504,1.054653535195659,8.848372425658198,4.974819926068937,8.722401165654494
40,-1.8508256825018072,-1.8985241831191306,-2.7302959598439225,-0.33679908488322896,-2.4334930139172406,1.4474767180879256,0.253250554591013,0.07398782968243592,0.3366379524612646
41,-1.3368122783622136,-7.267074171036833,-6.052674441525436,-5.791012841871357,-7.5399244251180635,0.9263779833497859,5.136610894858774,3.1430785211716374,5.449476328434946
42,-1.3576534202070203,-4.395236526725063,-7.075483437172573,-4.646226936295544,-6.51405017704102,1.1676810613378823,1.4719331688656272,2.9340872152840274,0.3385685366104762
43,-2.333119051464932,-2.3741743302040055,-1.2503960998326007,-3.3016057378075696,-3.044791464601121,2.077387779894025,0.6219069932435355,0.15845502216727003,0.2981129191244553
44,-2.4355853487009305,-1.686897613132395,-4.2889070840020755,-4.774631850412696,-3.349001713653626,1.9368710214687905,0.8332750419122398,0.9199754839480673,1.6628215090798941
45,-1.3662421997674772,-3.8901245310369306,-3.369497341792121,-3.8104794827439794,-3.2100292421054113,1.1797334607310794,0.5056801393665327,1.1741881816110382,0.7876925206943411
46,-3.656169242656577,-1.4108012711251845,-4.013698360561775,-3.354501393770799,-0.5428292619375723,3.5363983667724845,0.2208907586660837,0.07797125374322819,1.4137653960000873
47,-4.550713271398179,-1.328489274264896,-6.322900874859655,-6.883962613602699,-8.436185088476572,4.296018234087467,0.33974439204447604,4.850388066791289,1.4308689224252946
48,-4.324234844378375,-7.892889547519977,-4.864045205309652,-2.1593865516724473,-1.9830698309903492,3.50525397556576,7.537716867245508,3.347388127150306,2.0912984496870926
49,-5.73914476160459,-1.2878686714093388,-20.455502784737476,-19.74843392200697,-16.482185805892424,5.724345815169738,1.1562075377364638,1.6659423401506939,17.02763464965913
50,-2.1276395141568876,-2.254888195422152,-3.8117663785573166,-3.7925395745281025,-3.6578230695329657,1.6232765335266763,1.3184638223937828,1.4680436948942532,2.366313591218031
51,-4.1224233685838065,-2.405000495100211,-3.508411986055193,-5.307434025975207,-1.4964826172647718,3.61665465769118,1.96350860152801,1.5269340449202675,3.3057529662878324
52,-2.768923225396156,-4.4156478833203545,-1.7696357603238781,-2.7319833679876977,-0.985691570334739,2.545235810343623,2.874292479104037,0.556642374366197,0.3386028943279118
53,-2.9286839788548003,-1.4782739293879013,-2.7325379456667047,-4.959278814684248,-2.8902232122107487,2.6569426623354278,0.1437888860018354,1.0965861589489154,2.1927983267874183
54,-1.2689864158283208,-5.068354115510689,-23.561018087995222,-9.06481205224364,-7.725664228272769,1.1874712363980993,0.7315983858696707,21.87583601919027,4.340356211986295
